i	time
0	0
1	0
2	1
3	1
4	1
5	1
6	4
7	2
8	3
9	7
10	5
11	6
12	8
13	8
14	9
15	7
16	11
17	11
18	13
19	15
20	15
21	16
22	19
23	17
24	18
25	27
26	21
27	24
28	29
29	26
30	30
31	29
32	31
33	33
34	38
35	36
36	39
37	42
38	43
39	45
40	48
41	52
42	54
43	57
44	58
45	65
46	63
47	83
48	83
49	82
50	74
51	78
52	81
53	84
54	89
55	90
56	97
57	96
58	103
59	105
60	119
61	110
62	114
63	121
64	125
65	129
66	129
67	136
68	146
69	143
70	147
71	151
72	158
73	164
74	167
75	182
76	186
77	183
78	188
79	191
80	214
81	197
82	201
83	209
84	212
85	230
86	221
87	228
88	232
89	245
90	246
91	251
92	253
93	264
94	265
95	269
96	277
97	290
98	289
99	294
